LON,LAT,rating_date,score,WS2M,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,ID
-65.0500522,-34.25090585,2022-05-11,0,1.03,16.44,28.62,6.88,0,49.44,2
-65.0500522,-34.25090585,2022-05-11,0,0.99,12.98,20.35,8,1.75,48.69,1
-64.954769,-25.561878,2022-08-30,1,1.68,19.24,27.25,12.16,0.03,59,15
-64.954769,-25.561878,2022-08-30,1,2.37,15.53,19.09,9.99,0.08,76.81,14
-64.954769,-25.561878,2022-08-30,1,1.78,12.37,19.64,6.89,0,69.62,13
-64.954769,-25.561878,2022-08-30,1,1.78,12.71,20.46,7.28,0,63.56,12
-64.954769,-25.561878,2022-08-30,1,1.77,15.4,25.58,8.98,0,54.38,11
-64.954769,-25.561878,2022-08-30,1,2.09,13.69,20.89,6.72,0.29,65.81,10
-64.954769,-25.561878,2022-08-30,1,2.24,9.27,11.2,6.35,1.04,83.62,9
-64.954769,-25.561878,2022-08-30,1,1.84,8.81,16.55,3.05,0.04,62.19,8
-64.954769,-25.561878,2022-08-30,1,2.27,9.61,19.05,1.83,0,56.12,7
-64.954769,-25.561878,2022-08-30,1,1.93,12.72,22.62,5.5,0,42.44,6
-64.954769,-25.561878,2022-08-30,1,1.95,15.79,26.81,9.08,0,39.12,5
-64.954769,-25.561878,2022-08-30,1,1.68,17.84,27.1,9.95,0,45.31,4
-64.954769,-25.561878,2022-08-30,1,2.01,20.81,33.2,11.19,0,37.5,3
-64.954769,-25.561878,2022-08-30,1,3.22,17.34,25.74,11.01,0,22.94,2
-64.954769,-25.561878,2022-08-30,1,2.32,15.51,25.51,5.95,0,33.69,1
-64.91998556,-27.01482802,2022-06-09,0,3.09,19.46,27.43,13.13,0,71.88,15
-64.91998556,-27.01482802,2022-06-09,0,1.67,18.48,26.06,12.69,0,73.62,14
-64.91998556,-27.01482802,2022-06-09,0,1.3,16.65,21.73,13.01,0.02,81.56,13
-64.91998556,-27.01482802,2022-06-09,0,1.58,14.25,17.08,11.18,0.24,77.56,12
-64.91998556,-27.01482802,2022-06-09,0,0.97,12.77,17.01,10.41,0.14,75.62,11
-64.91998556,-27.01482802,2022-06-09,0,1.21,12.72,19.02,7.62,0,67.94,10
-64.91998556,-27.01482802,2022-06-09,0,1.88,11.83,19.98,5.91,0,57.25,9
-64.91998556,-27.01482802,2022-06-09,0,2.19,12.21,22.31,3.99,0,58.56,8
-64.91998556,-27.01482802,2022-06-09,0,1.55,14.81,26.01,6.62,0,58.69,7
-64.91998556,-27.01482802,2022-06-09,0,1.48,15.03,23.39,7.23,0,61.75,6
-64.91998556,-27.01482802,2022-06-09,0,1.78,17.51,26.69,10.36,0,55.75,5
-64.91998556,-27.01482802,2022-06-09,0,1.3,18.19,28.59,10.26,0,59.06,4
-64.91998556,-27.01482802,2022-06-09,0,1.09,18.6,26.38,11.9,0,67.62,3
-64.91998556,-27.01482802,2022-06-09,0,2.25,19.1,26.27,13.94,0.14,74.69,2
-64.91998556,-27.01482802,2022-06-09,0,1.83,13.63,17.98,9.77,0.05,75.31,1
-64.91883731,-27.01509347,2022-05-16,2,2.14,18.72,26.88,11.62,0,72.5,15
-64.91883731,-27.01509347,2022-05-16,2,2.11,19.54,27.58,11.94,0,75.31,14
-64.91883731,-27.01509347,2022-05-16,2,1.32,22.07,30.24,14.48,0,76.62,13
-64.91883731,-27.01509347,2022-05-16,2,2.08,21.86,26.94,18.48,0,81.69,12
-64.91883731,-27.01509347,2022-05-16,2,1.66,21.69,29.26,16.27,0.02,75.06,11
-64.91883731,-27.01509347,2022-05-16,2,2.7,19.8,26.74,13.95,0.07,79,10
-64.91883731,-27.01509347,2022-05-16,2,1.91,23.49,31.22,16.9,0,75.12,9
-64.91883731,-27.01509347,2022-05-16,2,1.74,24.93,31.68,19.47,0,68.31,8
-64.91883731,-27.01509347,2022-05-16,2,1.94,25.17,33.57,18.18,0,74.38,7
-64.91883731,-27.01509347,2022-05-16,2,2.27,22.07,26.59,15.46,0,63.06,6
-64.91883731,-27.01509347,2022-05-16,2,1.84,17.07,24.53,11.91,0.08,63.12,5
-64.91883731,-27.01509347,2022-05-16,2,1.5,15,21.69,9.36,0.58,70,4
-64.91883731,-27.01509347,2022-05-16,2,1.92,17.02,25.39,10.94,0,71.94,3
-64.91883731,-27.01509347,2022-05-16,2,1.64,16.27,22.15,10.67,0,76.94,2
-64.91883731,-27.01509347,2022-05-16,2,1.57,16.11,21.26,12.87,0,74.75,1
-64.906073,-27.013662,2023-03-28,0,3.53,28.04,35.63,21.42,0,60.06,15
-64.906073,-27.013662,2023-03-28,0,1.3,27.05,32.55,23.09,5.19,74.69,14
-64.906073,-27.013662,2023-03-28,0,2.27,28.09,35.82,22.12,1.36,60.81,13
-64.906073,-27.013662,2023-03-28,0,1.48,27.55,35.22,21.48,0,58.94,12
-64.906073,-27.013662,2023-03-28,0,1.12,28.33,35.06,20.95,0,60.94,11
-64.906073,-27.013662,2023-03-28,0,3.16,30,36.89,24.13,0,55.81,10
-64.906073,-27.013662,2023-03-28,0,4.2,29.57,35.91,24.5,19.62,68,9
